LONG,LAT,PROB,SEIZURE,YEAR
11.36975942,2.133354783,0.119969897,A,2018
10.79655797,2.133354783,0.189477049,A,2018
9.076953623,5.572563478,0.548210638,A,2018
14.23576667,3.279757681,0.344629466,A,2018
10.22335652,2.133354783,0.577457702,A,2018
12.51616232,2.706556232,0.190547607,A,2018
14.23576667,3.279757681,0.475332799,A,2018
14.23576667,3.279757681,0.629171175,A,2018
12.51616232,2.706556232,0.270652884,A,2018
10.79655797,2.133354783,0.152038485,A,2018
11.36975942,2.133354783,0.127598553,A,2018
14.23576667,3.279757681,0.357271687,A,2018
14.23576667,3.279757681,0.309823798,A,2018
10.79655797,2.133354783,0.1600239,A,2018
10.22335652,2.133354783,0.390446075,A,2018
11.36975942,4.999362029,0.140564012,A,2018
10.22335652,2.706556232,0.165330835,A,2018
14.23576667,3.279757681,0.37264066,A,2018
11.36975942,4.999362029,0.102842178,A,2018
11.36975942,2.133354783,0.144619097,A,2018
11.36975942,2.133354783,0.088162366,A,2018
13.66256522,2.706556232,0.04889895,A,2018
13.66256522,4.999362029,0.111640419,A,2018
10.22335652,2.706556232,0.259860432,A,2018
11.36975942,4.999362029,0.057068898,A,2018
10.22335652,2.133354783,0.222006001,A,2018
10.79655797,2.133354783,0.317258804,A,2018
14.23576667,3.279757681,0.214058151,A,2018
11.36975942,2.133354783,0.132482885,A,2018
14.23576667,3.279757681,0.247767625,A,2018
10.79655797,2.133354783,0.24476281,A,2018
10.79655797,2.133354783,0.243337009,A,2018
14.23576667,3.279757681,0.143516111,A,2018
25.69979565,-10.4770771,0.003639577,A,2018
14.23576667,3.279757681,0.153445121,A,2018
9.650155072,5.572563478,0.180973385,A,2018
11.36975942,4.999362029,0.103089887,A,2018
9.076953623,-1.305853913,0.004341701,A,2018
14.23576667,3.279757681,0.068278004,A,2018
12.51616232,2.706556232,0.161586041,A,2018
10.22335652,2.706556232,0.159276319,A,2018
11.36975942,2.133354783,0.108979176,A,2018
10.22335652,2.706556232,0.137884451,A,2018
10.22335652,2.133354783,0.17870952,A,2018
10.22335652,2.706556232,0.070711767,A,2018
11.36975942,2.133354783,0.152615446,A,2018
9.076953623,5.572563478,0.417339867,A,2018
10.22335652,2.133354783,0.3093599,A,2018
12.51616232,2.706556232,0.278015661,A,2018
14.23576667,3.279757681,0.254962377,A,2018
13.66256522,4.999362029,0.134946777,A,2018
9.650155072,1.560153333,0.057727945,A,2018
10.22335652,2.133354783,0.284724542,A,2018
11.36975942,4.999362029,0.155184402,A,2018
12.51616232,2.706556232,0.093475452,A,2018
10.79655797,2.133354783,0.142719151,A,2018
10.22335652,2.133354783,0.494206625,A,2018
9.076953623,5.572563478,0.551972947,A,2018
10.22335652,2.706556232,0.0897977,A,2018
10.79655797,2.133354783,0.309034061,A,2018
10.22335652,2.133354783,0.208348605,A,2018
10.22335652,2.706556232,0.287312919,A,2018
14.23576667,3.279757681,0.352944698,A,2018
14.23576667,3.279757681,0.148224543,A,2018
14.23576667,3.279757681,0.452629605,A,2018
9.650155072,5.572563478,0.205426735,A,2018
10.22335652,2.133354783,0.15962074,A,2018
10.79655797,2.133354783,0.200602466,A,2018
